,Month,Distillate,Truck Sales,Freight Volume,Diesel Prices,Ending stock,Refinery Yield
106,11-2016,3987.25,0.373,102.4,2.439,150237.25,29.5
107,11-2017,4113.5,0.444,110.2,2.909,125784.0,30.3
108,11-2018,4165.4,0.498,117.1,3.3,121745.8,30.0
109,11-2019,4220.4,0.456,117.4,3.069,117468.6,30.1
110,11-2020,4060.75,0.466,112.3,2.432,145466.0,30.7
111,11-2021,4307.5,0.439,113.9,3.727,123447.0,30.4
112,12-2012,3670.25,0.341,89.3,3.961,119596.25,30.0
113,12-2013,3719.5,0.372,95.7,3.882,116818.0,30.2
114,12-2014,4061.25,0.421,99.5,3.411,123215.75,30.2
115,12-2015,3604.25,0.41,101.1,2.31,151453.5,29.2
116,12-2016,3808.4,0.372,103.2,2.51,155893.2,29.7
117,12-2017,3991.4,0.458,112.1,2.909,131027.2,29.9
118,12-2018,4200.0,0.505,115.2,3.123,123342.5,30.4
119,12-2019,3780.0,0.47,116.5,3.055,126836.75,29.8
120,12-2020,3789.75,0.452,113.4,2.585,150828.5,31.8
121,12-2021,4017.2,0.464,115.1,3.641,124759.2,29.8
